best m,c is 1.680000,12.310000 with error 16.280927 in direction 0
best m,c is 1.680000,12.320000 with error 16.276898 in direction 0
best m,c is 1.680000,12.330000 with error 16.272873 in direction 0
best m,c is 1.680000,12.340000 with error 16.268854 in direction 0
best m,c is 1.680000,12.350000 with error 16.264840 in direction 0
best m,c is 1.680000,12.360000 with error 16.260832 in direction 0
best m,c is 1.680000,12.370000 with error 16.256828 in direction 0
best m,c is 1.680000,12.380000 with error 16.252830 in direction 0
best m,c is 1.680000,12.390000 with error 16.248836 in direction 0
best m,c is 1.680000,12.400000 with error 16.244848 in direction 0
best m,c is 1.680000,12.410000 with error 16.240865 in direction 0
best m,c is 1.680000,12.420000 with error 16.236888 in direction 0
best m,c is 1.680000,12.430000 with error 16.232915 in direction 0
best m,c is 1.680000,12.440000 with error 16.228948 in direction 0
best m,c is 1.680000,12.450000 with error 16.224986 in direction 0
best m,c is 1.680000,12.460000 with error 16.221029 in direction 0
best m,c is 1.680000,12.470000 with error 16.217077 in direction 0
best m,c is 1.680000,12.480000 with error 16.213130 in direction 0
best m,c is 1.680000,12.490000 with error 16.209189 in direction 0
best m,c is 1.680000,12.500000 with error 16.205253 in direction 0
best m,c is 1.680000,12.510000 with error 16.201322 in direction 0
best m,c is 1.680000,12.520000 with error 16.197396 in direction 0
best m,c is 1.680000,12.530000 with error 16.193476 in direction 0
best m,c is 1.680000,12.540000 with error 16.189561 in direction 0
best m,c is 1.680000,12.550000 with error 16.185651 in direction 0
best m,c is 1.680000,12.560000 with error 16.181746 in direction 0
best m,c is 1.680000,12.570000 with error 16.177846 in direction 0
best m,c is 1.680000,12.580000 with error 16.173952 in direction 0
best m,c is 1.680000,12.590000 with error 16.170063 in direction 0
best m,c is 1.680000,12.600000 with error 16.166179 in direction 0
best m,c is 1.680000,12.610000 with error 16.162301 in direction 0
best m,c is 1.680000,12.620000 with error 16.158427 in direction 0
best m,c is 1.680000,12.630000 with error 16.154559 in direction 0
best m,c is 1.680000,12.640000 with error 16.150697 in direction 0
best m,c is 1.680000,12.650000 with error 16.146839 in direction 0
best m,c is 1.680000,12.660000 with error 16.142987 in direction 0
best m,c is 1.680000,12.670000 with error 16.139140 in direction 0
best m,c is 1.680000,12.680000 with error 16.135298 in direction 0
best m,c is 1.680000,12.690000 with error 16.131462 in direction 0
best m,c is 1.680000,12.700000 with error 16.127631 in direction 0
best m,c is 1.680000,12.710000 with error 16.123805 in direction 0
best m,c is 1.680000,12.720000 with error 16.119985 in direction 0
best m,c is 1.680000,12.730000 with error 16.116169 in direction 0
best m,c is 1.680000,12.740000 with error 16.112359 in direction 0
best m,c is 1.680000,12.750000 with error 16.108555 in direction 0
best m,c is 1.680000,12.760000 with error 16.104756 in direction 0
best m,c is 1.680000,12.770000 with error 16.100962 in direction 0
best m,c is 1.680000,12.780000 with error 16.097173 in direction 0
best m,c is 1.680000,12.790000 with error 16.093390 in direction 0
best m,c is 1.680000,12.800000 with error 16.089612 in direction 0
best m,c is 1.680000,12.810000 with error 16.085839 in direction 0
best m,c is 1.680000,12.820000 with error 16.082072 in direction 0
